Time	BC	AB	SK	MB	ON	OC	ATL	CRUISE
03/16	30	18	1	1	32	11	0	0
03/15	0	17	0	4	43	15	9	0
03/14	9	10	4	0	24	7	3	2
03/13	11	6	1	0	20	0	0	1
03/12	7	4	1	3	17	9	0	0
03/11	7	5	0	0	6	1	1	1
03/10	7	7	0	0	1	3	0	0
03/09	5	3	0	0	3	0	0	0
03/08	0	2	0	0	4	1	0	0
03/07	6	0	0	0	0	0	0	0
03/06	0	1	0	0	4	1	0	0
03/05	8	1	0	0	4	2	0	0
03/04	1	0	0	0	0	0	0	0
03/03	4	0	0	0	2	0	0	0
03/02	0	0	0	0	3	0	0	0
03/01	0	0	0	0	4	0	0	0
02/29	1	0	0	0	3	0	0	0
02/28	0	0	0	0	2	0	0	0
02/27	0	0	0	0	1	1	0	0
02/26	0	0	0	0	1	0	0	0
02/24	1	0	0	0	0	0	0	0
02/23	0	0	0	0	1	0	0	0
02/20	1	0	0	0	0	0	0	0
02/14	1	0	0	0	0	0	0	0
02/06	2	0	0	0	0	0	0	0
02/04	1	0	0	0	0	0	0	0
01/31	0	0	0	0	1	0	0	0
01/28	1	0	0	0	0	0	0	0
01/26	0	0	0	0	1	0	0	0
01/25	0	0	0	0	1	0	0	0
